"name","category","size","open_date","close_date","owner","description","hours","source","scrape_date"
"Bienvenue Dans Votre Marché Balaruc","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Balma","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Barentin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Beaucouzé","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-20:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Beaune","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bergerac","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Besançon","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bessoncourt","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Beynost","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Biarritz","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Biganos","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bizanos (pau)","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Blanquefort","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Blois","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Boissise-le-roi","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bourg-lès-valence","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bourges","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bourgoin-jallieu","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Boé","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Brie-comte-robert","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Brive-la-gaillarde","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Brives-charensac","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bron Decathlon Village","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bron Rebufer","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bruay La Buissière","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bry-sur-marne","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-20:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-20:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Brétigny-sur-orge","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Bègles","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Béziers","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-19:30 Lundi 25/05 : Ouverture exceptionnelle 9:00-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cagnes-sur-mer","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-20:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cannes La Bocca / Le Cannet","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Carbon-blanc","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Carcassonne","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Carpentras","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Carpiquet","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Carvin","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Castelnau-le-lez","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Castres","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Cesson-sévigné","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chalon-sur-saône","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chambly","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-20:00 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chambray-lès-tours","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chambry","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chancelade","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-19:30 Jeudi 14/05 : Ouverture exceptionnelle 8:30-19:30 Lundi 25/05 : Ouverture exceptionnelle 8:30-19:30","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chasse-sur-rhône","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 8:30-20:00 Jeudi 14/05 : Ouverture exceptionnelle 8:30-20:00 Lundi 25/05 : Ouverture exceptionnelle 8:30-20:00","grandfrais","2026-05-01"
"Bienvenue Dans Votre Marché Chasseneuil Du Poitou","","","","","","Découvrez des promos exclusives, des récompenses généreuses, des recettes gourmandes, des jeux inédits... le tout dans une seule app !","En Mai Vendredi 01/05 : Fermeture exceptionnelle Vendredi 08/05 : Ouverture exceptionnelle 9:00-19:30 Jeudi 14/05 : Ouverture exceptionnelle 9:00-13:00 Lundi 25/05 : Ouverture exceptionnelle 9:00-13:00","grandfrais","2026-05-01"
